ConferenceName,Date,Role,Location,link,sortDate,type
CMD-IT/ACM Richard Tapia Celebration of Diversity in Computing,"September 10-12, 2025",Conference Attendee,"Grapevine, TX, USA",,2025-09-10,
CCC Computing Futures Symposium,"May 15-16, 2025",Conference Attendee,"Washington, D.C.",,2025-05-15,
CIFellows 2025 Symposium,"May 13-14, 2025",Conference Attendee,"Washington, D.C.",,2025-05-13,
CRA Career Mentoring Workshops (CMW),"February 20-23, 2024",Conference Attendee,"Washington, D.C.",,2024-02-20,
ACM Richard Tapia Celebration of Diversity in Computing,"September 18-21, 2019",Conference Attendee,"San Diego, CA",,2019-09-18,
CRA-Women Graduate Cohort Workshop,"April 15-16, 2016",Conference Attendee,"San Diego, CA",,2016-04-15,
Anita Borg Institute's Grace Hopper Celebration,"October 2-5, 2013",Conference Attendee,"Minneapolis, MN",,2013-10-02,
CRA STARS Alliance Celebration,"August 16-17, 2013",Conference Attendee,"Atlanta, GA",,2013-08-16,
