ConferenceName,Date,Role,GeneralRole,Location,link,sortDate,type
3rd Workshop on Narrative Understanding at NAACL 2021,"June 11, 2021",Co-Organizer,Organizer,Virtual,https://sites.google.com/view/wnu2021,2021-06-11,
AAAI Conf. on Artificial Intelligence and Interactive Digital Entertainment (AIIDE),"October 19-23, 2020",Publicity Co-Chair,Organizer,Virtual,https://webdocs.cs.ualberta.ca/~santanad/aiide/,2020-10-19,
Interactive Narrative Technologies (INT) Workshop at AIIDE,"October 19-20, 2020",Program Committee Member,Reviewer,Virtual,,2020-10-19,
Procedural Content Generation (PCG) Workshop at Foundations of Digital Games (FDG),"September 14, 2020",Program Committee Member,Reviewer,"Bugibba, Malta",,2020-09-14,
"1st Workshop on Narrative Understanding, Storylines, and Events (NUSE) at ACL 2020","July 9, 2020",Co-Organizer,Organizer,Virtual,https://sites.google.com/view/nuse,2020-07-09,
International Conference for Interactive Digital Storytelling (ICIDS),"November 19-23, 2019",Program Committee Member,Reviewer,"Little Cottonwood Canyon, UT",,2019-11-19,Human Factors
AAAI Conf. on Artificial Intelligence and Interactive Digital Entertainment (AIIDE),"October 8-12, 2019",Local Arrangements Chair,Organizer,"Altanta, GA",http://web.cs.wpi.edu/~gmsmith/aiide2019/,2019-10-08,
ACM Richard Tapia Celebration of Diversity in Computing,"September 18-21, 2019",Conference Attendee,Attendee,"San Diego, CA",,2019-09-18,
Procedural Content Generation (PCG) Workshop at Foundations of Digital Games (FDG),"August 26, 2019",Program Committee Member,Reviewer,"San Luis Obispo, CA",,2019-08-26,
Workshop on Storytelling at ACL,"August 1, 2019",Program Committee Member,Reviewer,"Florence, Italy",,2019-08-01,
Workshop on Narrative Understanding at NAACL,"June 7, 2019",Program Committee Member,Reviewer,"Minneapolis, MN",,2019-06-07,
Knowledge Extraction from Games (KEG) Workshop at AAAI,"January 27, 2019",Program Committee Member,Reviewer,"Honolulu, HI",,2019-01-27,
International Conference for Interactive Digital Storytelling (ICIDS),"December 5-8, 2018",Associate Program Chair -- Technologies Track,Chair,"Dublin, Ireland",,2018-12-05,
AAAI Conf. on Artificial Intelligence and Interactive Digital Entertainment (AIIDE),"November 13-17, 2018",Program Committee Member,Reviewer,"Alberta, Canada",,2018-11-13,Artifact Evaluation
Workshop on Storytelling at NAACL-HLT,"June 5, 2018",Program Committee Member,Reviewer,"New Orleans, LA",,2018-06-05,
CRA-Women Graduate Cohort Workshop,"April 15-16, 2016",Conference Attendee,Attendee,"San Diego, CA",,2016-04-15,
Anita Borg Institute's Grace Hopper Celebration,"October 2-5, 2013",Conference Attendee,Attendee,"Minneapolis, MN",,2013-10-02,
CRA STARS Alliance Celebration,"August 16-17, 2013",Conference Attendee,Attendee,"Atlanta, GA",,2013-08-16,
